,COUNTRIES,TOTAL CASES,NEW CASES,NEW DEATHS,TOTAL DEATHS,TOTAL RECOVERED
0,North America,55637640,+4460,+306,1134768,44105767
1,Asia,78616954,+37560,+627,1158619,75618949
2,South America,38271452,+433,+2,1167292,36419983
3,Europe,62867010,+90340,+1916,1280092,57027155
4,Africa,8538051,+746,+24,217356,7866048
5,Oceania,294095,+2344,+20,3567,232597
6,,721,,,15,706
7,World,244225923,+135883,+2895,4961709,221271205
8,USA,46294210,,,756205,36033886
9,India,34175468,+625,,454301,33548605
10,Brazil,21723559,,,605569,20895886
11,UK,8734934,,,139461,7116179
12,Russia,8241643,+35660,+1072,230600,7165921
13,Turkey,7827013,,,68917,7259585
14,France,7120863,,,117463,6909596
15,Iran,5860844,+9174,+171,125223,5416691
16,Argentina,5279818,,,115823,5145609
17,Spain,4997732,,,87132,4848432
18,Colombia,4989681,,,127032,4833552
19,Italy,4737462,,,131802,4531644
20,Germany,4464667,,,95794,4206400
21,Indonesia,4240019,+623,+29,143205,4082454
22,Mexico,3781661,+4452,+306,286259,3141429
23,Poland,2972927,+4728,+13,76447,2686129
24,South Africa,2919332,,,88914,2811178
25,Ukraine,2769405,+20791,+386,63872,2375776
26,Philippines,2756923,+5279,+208,41793,2654173
27,Malaysia,2426050,,,28354,2320391
28,Peru,2195101,,,200019,N/A
29,Netherlands,2076273,,,18313,1973315
30,Iraq,2045027,,,22937,1984439
31,Thailand,1850482,+9351,+56,18755,1730727
32,Czechia,1729458,+2751,+3,30615,1667465
33,Japan,1716692,+285,+8,18191,1693019
34,Canada,1697036,,,28745,1639081
35,Chile,1680017,,,37662,1629125
36,Bangladesh,1567417,,,27814,1530941
37,Romania,1561928,+11725,+381,44679,1323707
38,Israel,1322652,+116,,8046,1301403
39,Belgium,1312360,,,25846,1200847
40,Pakistan,1268536,+591,+18,28377,1216242
41,Sweden,1165996,,,14956,1134392
42,Serbia,1092476,,,9448,957601
43,Portugal,1084534,,,18129,1035450
44,Cuba,944431,,,8167,930361
45,Morocco,944076,,,14606,924009
46,Kazakhstan,928211,+1677,,11907,871803
47,Vietnam,884895,,,21620,804664
48,Switzerland,862408,,,11194,819087
49,Jordan,849758,,,10941,821458
50,Hungary,843825,,,30492,793842
51,Nepal,808534,,,11345,786630
52,Austria,798606,+3624,+6,11251,756121
53,UAE,739190,,,2129,733127
54,Greece,714283,,,15598,663774
55,Tunisia,711521,,,25139,685084
56,Georgia,692240,+3436,+43,9742,630961
57,Lebanon,637312,,,8449,612103
58,Guatemala,594665,,,14655,571284
59,Belarus,584190,,,4499,556496
60,Bulgaria,568073,,,23033,466522
61,Costa Rica,555970,,,6946,484431
62,Saudi Arabia,548205,,,8776,537246
63,Sri Lanka,535529,,,13593,503090
64,Azerbaijan,514289,,,6869,483559
65,Ecuador,514087,,,32937,443880
66,Bolivia,509709,+433,+2,18898,472064
67,Myanmar,493576,,,18511,455176
68,Panama,471403,,,7307,461819
69,Paraguay,460701,,,16230,444193
70,Slovakia,456438,+3207,+8,12903,412674
71,Croatia,443032,,,9010,416703
72,Ireland,428152,,,5369,375351
73,Palestine,420833,,,4358,407039
74,Kuwait,412506,,,2460,409568
75,Venezuela,399667,,,4800,380721
76,Uruguay,392029,,,6071,384211
77,Lithuania,388185,+2285,+25,5633,344411
78,Dominican Republic,375545,,,4106,365149
79,Denmark,375065,,,2697,360725
80,Honduras,374148,,,10192,115359
81,Ethiopia,362088,,,6347,332945
82,Libya,353626,+745,+24,5006,288170
83,S. Korea,351899,+1423,+21,2766,323393
84,Mongolia,349509,+1321,+17,1660,313256
85,Moldova,327094,,,7459,305068
86,Egypt,323733,,,18242,273154
87,Slovenia,319913,+1497,+5,4683,296778
88,Oman,304116,,,4107,299492
89,Armenia,295368,+2354,+38,6013,260731
90,Bahrain,276526,,,1393,274473
91,Kenya,252628,,,5255,246027
92,Bosnia and Herzegovina,247958,,,11322,192218
93,Qatar,238436,,,608,236840
94,Nigeria,210295,,,2856,198191
95,Zambia,209629,,,3659,205793
96,Algeria,205750,,,5886,141129
97,Latvia,202573,+2252,+10,3028,167123
98,Norway,200093,,,894,88952
99,North Macedonia,199539,,,7036,186211
100,Botswana,184919,,,2396,181187
101,Uzbekistan,183569,+378,+2,1304,179222
102,Estonia,182039,+1787,+7,1461,159479
103,Albania,181252,,,2870,171475
104,Kyrgyzstan,180563,+96,+3,2653,175061
105,Singapore,169261,,,300,139229
106,Australia,158604,+2232,+15,1637,121780
107,Afghanistan,155944,+4,+2,7255,127465
108,Finland,153156,,,1139,46000
109,Mozambique,151220,,,1928,148645
110,Montenegro,140489,,,2059,133977
111,Zimbabwe,132588,,,4663,126978
112,Ghana,129805,,,1170,126539
113,Namibia,128801,,,3546,124353
114,Uganda,125645,,,3198,96481
115,Cyprus,121546,,,569,90755
116,Cambodia,117772,+128,+9,2734,112977
117,El Salvador,112290,,,3554,94069
118,Cameroon,100289,,,1600,80433
119,Rwanda,99354,,,1320,45511
120,Jamaica,88159,,,2175,56435
121,Maldives,86830,,,240,85057
122,Luxembourg,80603,,,842,78173
123,Senegal,73891,,,1877,71990
124,Angola,63775,,,1695,52459
125,Malawi,61757,,,2296,57131
126,Ivory Coast,61178,,,690,59745
127,DRC,57432,,,1091,50930
128,Trinidad and Tobago,55437,,,1639,49209
129,Réunion,54438,,,372,53696
130,Guadeloupe,54350,,,736,2250
131,Fiji,51977,,,673,48915
132,Suriname,47978,,,1058,29426
133,Eswatini,46384,,,1241,45027
134,French Guiana,44060,,,299,9995
135,Madagascar,42898,,,958,41322
136,Martinique,42634,,,670,104
137,Syria,41222,,,2492,25606
138,Sudan,40238,,,3099,32905
139,French Polynesia,40178,,,635,33500
140,Cabo Verde,38130,,,349,37422
141,Malta,37551,+12,,459,36471
142,Mauritania,36910,,,792,35652
143,Laos,35633,+648,+2,52,6558
144,Guyana,34977,,,894,30589
145,Gabon,34601,,,224,28310
146,Guinea,30626,,,385,29407
147,Papua New Guinea,26731,,,329,23413
148,Tanzania,26034,,,724,N/A
149,Togo,25989,,,242,25455
150,Belize,25445,,,473,22212
151,Benin,24560,,,161,23971
152,Haiti,23406,,,658,20149
153,Bahamas,22179,,,642,20181
154,Seychelles,21903,,,119,21567
155,Lesotho,21584,,,656,12189
156,Somalia,21269,,,1180,9927
157,Mayotte,20485,,,182,2964
158,Burundi,19894,,,38,773
159,Timor-Leste,19766,,,120,19577
160,Tajikistan,17086,,,124,16960
161,Mauritius,17047,,,148,1854
162,Curaçao,17002,,,172,16657
163,Congo,16408,,,239,12421
164,Taiwan,16368,+4,,846,15409
165,Nicaragua,16241,,,207,4225
166,Mali,15809,,,558,14572
167,Aruba,15800,,,171,15481
168,Andorra,15404,,,130,15182
169,Barbados,15050,,,128,10222
170,Burkina Faso,14793,,,214,14287
171,Djibouti,13444,,,181,13188
172,Equatorial Guinea,13166,,,163,12537
173,Iceland,12899,,,33,12213
174,Channel Islands,12594,,,99,11913
175,Saint Lucia,12411,,,240,11765
176,Hong Kong,12324,+4,,213,12019
177,South Sudan,12279,,,133,11889
178,Brunei,11901,,,80,9368
179,CAR,11518,,,100,6859
180,New Caledonia,10482,+28,+5,257,55
181,Gambia,9956,,,339,9601
182,Yemen,9662,,,1838,6178
183,Isle of Man,9107,,,57,8325
184,Eritrea,6789,,,45,6707
185,Sierra Leone,6396,,,121,4393
186,Niger,6248,,,207,5916
187,Guinea-Bissau,6131,,,141,5430
188,Gibraltar,5874,+16,,98,5591
189,Grenada,5815,+6,,196,5488
190,Liberia,5811,,,287,5458
191,New Zealand,5638,+84,,28,4457
192,Bermuda,5612,,,96,5345
193,San Marino,5475,,,91,5367
194,Chad,5067,,,174,4874
195,St. Vincent Grenadines,4814,,,60,3008
196,Dominica,4508,,,30,4075
197,Sint Maarten,4478,,,75,4360
198,Comoros,4205,+1,,147,4037
199,Antigua and Barbuda,4019,,,99,3466
200,Saint Martin,3850,,,55,1399
201,Sao Tome and Principe,3697,,,56,3183
202,Liechtenstein,3529,+5,,60,3415
203,Monaco,3389,,,34,3318
204,Turks and Caicos,2956,,,23,2876
205,British Virgin Islands,2725,,,37,2649
206,Saint Kitts and Nevis,2625,+2,,21,2275
207,Bhutan,2617,,,3,2605
208,Caribbean Netherlands,2383,,,19,2275
209,St. Barth,1589,,,6,462
210,Faeroe Islands,1537,,,2,1319
211,Cayman Islands,1196,,,2,923
212,Anguilla,793,,,1,701
213,Greenland,731,,,,641
214,Diamond Princess,712,,,13,699
215,Wallis and Futuna,445,,,7,438
216,Macao,77,,,,66
217,Falkland Islands,68,,,,67
218,Montserrat,41,,,1,34
219,Saint Pierre Miquelon,32,,,,32
220,Vatican City,27,,,,27
221,Solomon Islands,20,,,,20
222,Western Sahara,10,,,1,8
223,MS Zaandam,9,,,2,7
224,Palau,8,,,,8
225,Vanuatu,4,,,1,3
226,Marshall Islands,4,,,,4
227,Samoa,3,,,,3
228,Saint Helena,2,,,,2
229,Micronesia,1,,,,1
230,China,96758,+43,,4636,91558
231,North America,55637640,+4460,+306,1134768,44105767
232,Asia,78616954,+37560,+627,1158619,75618949
233,South America,38271452,+433,+2,1167292,36419983
234,Europe,62867010,+90340,+1916,1280092,57027155
235,Africa,8538051,+746,+24,217356,7866048
236,Oceania,294095,+2344,+20,3567,232597
237,,721,,,15,706
238,World,244225923,+135883,+2895,4961709,221271205
239,USA,46294210,,,756205,36033886
240,India,34175468,+625,,454301,33548605
241,Brazil,21723559,,,605569,20895886
242,UK,8734934,,,139461,7116179
243,Russia,8241643,+35660,+1072,230600,7165921
244,Turkey,7827013,,,68917,7259585
245,France,7120863,,,117463,6909596
246,Iran,5860844,+9174,+171,125223,5416691
247,Argentina,5279818,,,115823,5145609
248,Spain,4997732,,,87132,4848432
249,Colombia,4989681,,,127032,4833552
250,Italy,4737462,,,131802,4531644
251,Germany,4464667,,,95794,4206400
252,Indonesia,4240019,+623,+29,143205,4082454
253,Mexico,3781661,+4452,+306,286259,3141429
254,Poland,2972927,+4728,+13,76447,2686129
255,South Africa,2919332,,,88914,2811178
256,Ukraine,2769405,+20791,+386,63872,2375776
257,Philippines,2756923,+5279,+208,41793,2654173
258,Malaysia,2426050,,,28354,2320391
259,Peru,2195101,,,200019,N/A
260,Netherlands,2076273,,,18313,1973315
261,Iraq,2045027,,,22937,1984439
262,Thailand,1850482,+9351,+56,18755,1730727
263,Czechia,1729458,+2751,+3,30615,1667465
264,Japan,1716692,+285,+8,18191,1693019
265,Canada,1697036,,,28745,1639081
266,Chile,1680017,,,37662,1629125
267,Bangladesh,1567417,,,27814,1530941
268,Romania,1561928,+11725,+381,44679,1323707
269,Israel,1322652,+116,,8046,1301403
270,Belgium,1312360,,,25846,1200847
271,Pakistan,1268536,+591,+18,28377,1216242
272,Sweden,1165996,,,14956,1134392
273,Serbia,1092476,,,9448,957601
274,Portugal,1084534,,,18129,1035450
275,Cuba,944431,,,8167,930361
276,Morocco,944076,,,14606,924009
277,Kazakhstan,928211,+1677,,11907,871803
278,Vietnam,884895,,,21620,804664
279,Switzerland,862408,,,11194,819087
280,Jordan,849758,,,10941,821458
281,Hungary,843825,,,30492,793842
282,Nepal,808534,,,11345,786630
283,Austria,798606,+3624,+6,11251,756121
284,UAE,739190,,,2129,733127
285,Greece,714283,,,15598,663774
286,Tunisia,711521,,,25139,685084
287,Georgia,692240,+3436,+43,9742,630961
288,Lebanon,637312,,,8449,612103
289,Guatemala,594665,,,14655,571284
290,Belarus,584190,,,4499,556496
291,Bulgaria,568073,,,23033,466522
292,Costa Rica,555970,,,6946,484431
293,Saudi Arabia,548205,,,8776,537246
294,Sri Lanka,535529,,,13593,503090
295,Azerbaijan,514289,,,6869,483559
296,Ecuador,514087,,,32937,443880
297,Bolivia,509709,+433,+2,18898,472064
298,Myanmar,493576,,,18511,455176
299,Panama,471403,,,7307,461819
300,Paraguay,460701,,,16230,444193
301,Slovakia,456438,+3207,+8,12903,412674
302,Croatia,443032,,,9010,416703
303,Ireland,428152,,,5369,375351
304,Palestine,420833,,,4358,407039
305,Kuwait,412506,,,2460,409568
306,Venezuela,399667,,,4800,380721
307,Uruguay,392029,,,6071,384211
308,Lithuania,388185,+2285,+25,5633,344411
309,Dominican Republic,375545,,,4106,365149
310,Denmark,375065,,,2697,360725
311,Honduras,374148,,,10192,115359
312,Ethiopia,362088,,,6347,332945
313,Libya,353626,+745,+24,5006,288170
314,S. Korea,351899,+1423,+21,2766,323393
315,Mongolia,349509,+1321,+17,1660,313256
316,Moldova,327094,,,7459,305068
317,Egypt,323733,,,18242,273154
318,Slovenia,319913,+1497,+5,4683,296778
319,Oman,304116,,,4107,299492
320,Armenia,295368,+2354,+38,6013,260731
321,Bahrain,276526,,,1393,274473
322,Kenya,252628,,,5255,246027
323,Bosnia and Herzegovina,247958,,,11322,192218
324,Qatar,238436,,,608,236840
325,Nigeria,210295,,,2856,198191
326,Zambia,209629,,,3659,205793
327,Algeria,205750,,,5886,141129
328,Latvia,202573,+2252,+10,3028,167123
329,Norway,200093,,,894,88952
330,North Macedonia,199539,,,7036,186211
331,Botswana,184919,,,2396,181187
332,Uzbekistan,183569,+378,+2,1304,179222
333,Estonia,182039,+1787,+7,1461,159479
334,Albania,181252,,,2870,171475
335,Kyrgyzstan,180563,+96,+3,2653,175061
336,Singapore,169261,,,300,139229
337,Australia,158604,+2232,+15,1637,121780
338,Afghanistan,155944,+4,+2,7255,127465
339,Finland,153156,,,1139,46000
340,Mozambique,151220,,,1928,148645
341,Montenegro,140489,,,2059,133977
342,Zimbabwe,132588,,,4663,126978
343,Ghana,129805,,,1170,126539
344,Namibia,128801,,,3546,124353
345,Uganda,125645,,,3198,96481
346,Cyprus,121546,,,569,90755
347,Cambodia,117772,+128,+9,2734,112977
348,El Salvador,112290,,,3554,94069
349,Cameroon,100289,,,1600,80433
350,Rwanda,99354,,,1320,45511
351,Jamaica,88159,,,2175,56435
352,Maldives,86830,,,240,85057
353,Luxembourg,80603,,,842,78173
354,Senegal,73891,,,1877,71990
355,Angola,63775,,,1695,52459
356,Malawi,61757,,,2296,57131
357,Ivory Coast,61178,,,690,59745
358,DRC,57432,,,1091,50930
359,Trinidad and Tobago,55437,,,1639,49209
360,Réunion,54438,,,372,53696
361,Guadeloupe,54350,,,736,2250
362,Fiji,51977,,,673,48915
363,Suriname,47978,,,1058,29426
364,Eswatini,46384,,,1241,45027
365,French Guiana,44060,,,299,9995
366,Madagascar,42898,,,958,41322
367,Martinique,42634,,,670,104
368,Syria,41222,,,2492,25606
369,Sudan,40238,,,3099,32905
370,French Polynesia,40178,,,635,33500
371,Cabo Verde,38130,,,349,37422
372,Malta,37551,+12,,459,36471
373,Mauritania,36910,,,792,35652
374,Laos,35633,+648,+2,52,6558
375,Guyana,34977,,,894,30589
376,Gabon,34601,,,224,28310
377,Guinea,30626,,,385,29407
378,Papua New Guinea,26731,,,329,23413
379,Tanzania,26034,,,724,N/A
380,Togo,25989,,,242,25455
381,Belize,25445,,,473,22212
382,Benin,24560,,,161,23971
383,Haiti,23406,,,658,20149
384,Bahamas,22179,,,642,20181
385,Seychelles,21903,,,119,21567
386,Lesotho,21584,,,656,12189
387,Somalia,21269,,,1180,9927
388,Mayotte,20485,,,182,2964
389,Burundi,19894,,,38,773
390,Timor-Leste,19766,,,120,19577
391,Tajikistan,17086,,,124,16960
392,Mauritius,17047,,,148,1854
393,Curaçao,17002,,,172,16657
394,Congo,16408,,,239,12421
395,Taiwan,16368,+4,,846,15409
396,Nicaragua,16241,,,207,4225
397,Mali,15809,,,558,14572
398,Aruba,15800,,,171,15481
399,Andorra,15404,,,130,15182
400,Barbados,15050,,,128,10222
401,Burkina Faso,14793,,,214,14287
402,Djibouti,13444,,,181,13188
403,Equatorial Guinea,13166,,,163,12537
404,Iceland,12899,,,33,12213
405,Channel Islands,12594,,,99,11913
406,Saint Lucia,12411,,,240,11765
407,Hong Kong,12324,+4,,213,12019
408,South Sudan,12279,,,133,11889
409,Brunei,11901,,,80,9368
410,CAR,11518,,,100,6859
411,New Caledonia,10482,+28,+5,257,55
412,Gambia,9956,,,339,9601
413,Yemen,9662,,,1838,6178
414,Isle of Man,9107,,,57,8325
415,Eritrea,6789,,,45,6707
416,Sierra Leone,6396,,,121,4393
417,Niger,6248,,,207,5916
418,Guinea-Bissau,6131,,,141,5430
419,Gibraltar,5874,+16,,98,5591
420,Grenada,5815,+6,,196,5488
421,Liberia,5811,,,287,5458
422,New Zealand,5638,+84,,28,4457
423,Bermuda,5612,,,96,5345
424,San Marino,5475,,,91,5367
425,Chad,5067,,,174,4874
426,St. Vincent Grenadines,4814,,,60,3008
427,Dominica,4508,,,30,4075
428,Sint Maarten,4478,,,75,4360
429,Comoros,4205,+1,,147,4037
430,Antigua and Barbuda,4019,,,99,3466
431,Saint Martin,3850,,,55,1399
432,Sao Tome and Principe,3697,,,56,3183
433,Liechtenstein,3529,+5,,60,3415
434,Monaco,3389,,,34,3318
435,Turks and Caicos,2956,,,23,2876
436,British Virgin Islands,2725,,,37,2649
437,Saint Kitts and Nevis,2625,+2,,21,2275
438,Bhutan,2617,,,3,2605
439,Caribbean Netherlands,2383,,,19,2275
440,St. Barth,1589,,,6,462
441,Faeroe Islands,1537,,,2,1319
442,Cayman Islands,1196,,,2,923
443,Anguilla,793,,,1,701
444,Greenland,731,,,,641
445,Diamond Princess,712,,,13,699
446,Wallis and Futuna,445,,,7,438
447,Macao,77,,,,66
448,Falkland Islands,68,,,,67
449,Montserrat,41,,,1,34
450,Saint Pierre Miquelon,32,,,,32
451,Vatican City,27,,,,27
452,Solomon Islands,20,,,,20
453,Western Sahara,10,,,1,8
454,MS Zaandam,9,,,2,7
455,Palau,8,,,,8
456,Vanuatu,4,,,1,3
457,Marshall Islands,4,,,,4
458,Samoa,3,,,,3
459,Saint Helena,2,,,,2
460,Micronesia,1,,,,1
461,China,96758,+43,,4636,91558
